date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed,model_susceptible,model_exposed,model_infected,model_removed,model_confirmed,beta,sigma,gamma
2020-08-24,176,32678.0,18806.0,157.0,18963.0,13715.0,29104130.0,743.0,183.0,3740.0,29104058.600956444,3749.929062810627,13710.613022213285,18966.85695853233,32677.469980745616,0.0654032829160035,0.2,0.023332118118847976
2020-08-25,177,33533.0,19119.0,164.0,19283.0,14250.0,29103275.0,855.0,320.0,3888.0,29103219.82221841,3887.4198930754824,14152.689312095523,19288.068576420144,33440.75788851567,0.05793334105067786,0.2,0.027789473684210527
2020-08-26,178,34418.0,19504.0,175.0,19679.0,14739.0,29102390.0,885.0,396.0,3935.0,29102439.376468178,3940.9232735410355,14631.400635130845,19684.299623151757,34315.7002582826,0.0858602939235611,0.2,0.03914783906642242
2020-08-27,179,35529.0,20073.0,183.0,20256.0,15273.0,29101279.0,1111.0,577.0,4412.0,29101115.844692882,4376.845466317542,14989.661338694561,20260.64850210528,35250.30984079984,0.06499118540282958,0.2,0.011850978851568127
2020-08-28,180,36456.0,20242.0,195.0,20437.0,16019.0,29100352.0,927.0,181.0,4521.0,29100264.69475696,4532.2476288251955,15981.872574363868,20441.18503985172,36423.05761421559,0.06532925859796967,0.2,0.02028840751607466
2020-08-29,181,37340.0,20555.0,207.0,20762.0,16578.0,29099468.0,884.0,325.0,4662.0,29099287.740617573,4666.647934105485,16606.67897195386,20767.932476369213,37374.61144832308,0.07842116584426775,0.2,0.016950174930630956
2020-08-30,182,38561.0,20822.0,221.0,21043.0,17518.0,29098247.0,1221.0,281.0,5028.0,29098143.32768101,5018.336068028656,17259.643864656384,21048.692386305458,38308.336250961846,0.058280121819144236,0.2,0.03396506450508049
2020-08-31,183,39460.0,21410.0,228.0,21638.0,17822.0,29097348.0,899.0,595.0,5042.0,29097215.56619534,5051.772254308409,17923.745121491844,21644.916428861958,39568.661550353805,0.05429865172940548,0.2,0.04371002132196162
2020-09-01,184,40529.0,22178.0,239.0,22417.0,18112.0,29096279.0,1069.0,779.0,5000.0,29096375.551942624,5009.597501074195,18042.962212338585,22421.888343964234,40464.850556302816,0.06595968210101863,0.2,0.06205830388692579
2020-09-02,185,41649.0,23290.0,251.0,23541.0,18108.0,29095159.0,1120.0,1124.0,5193.0,29095089.633475225,5171.5236294970655,18009.243316322707,23537.59957895434,41546.84289527705,0.07646229057215002,0.2,0.050971946101170756
