wave,scenario,date,model_S,model_E,model_I,model_R,model_confirmed,beta,actual_confirmed,basic_R0,effective_Re 
wave_2,Paper beta (0% reduction),2021-04-07,23291942.81521452,3614.696500698451,14797.188258512751,5826453.300026269,276291.14809587016,0.0536,278768.0,0.8535031847133758,0.6822898160617807
wave_2,Paper beta (0% reduction),2021-04-08,23291313.813170914,3555.391866911734,14563.583862205454,5827375.211099969,276323.70500171086,0.0536,279100.0,0.8535031847133758,0.6822713907336733
wave_2,Paper beta (0% reduction),2021-04-09,23290694.76631514,3497.391581644404,14333.286666408507,5828282.555436807,276355.7293314821,0.0536,279388.0,0.8535031847133758,0.6822532570224277
wave_2,Paper beta (0% reduction),2021-04-10,23290085.531400505,3440.598140032451,14106.328618201069,5829175.541841261,276387.23247273255,0.0536,279725.0,0.8535031847133758,0.6822354107319253
wave_2,Paper beta (0% reduction),2021-04-11,23289485.964248437,3384.9319066873077,13882.723320908719,5830054.380523967,276418.2250118626,0.0536,280028.0,0.8535031847133758,0.6822178476387499
wave_2,Paper beta (0% reduction),2021-04-12,23288895.920443095,3330.3273646535845,13662.470109422253,5830919.28208283,276448.7168786935,0.0536,280524.0,0.8535031847133758,0.6822005635125347
wave_2,Paper beta (0% reduction),2021-04-13,23288315.255870625,3276.7301604331956,13445.557257224298,5831770.456711717,276478.71746073087,0.0536,280984.0,0.8535031847133758,0.6821835541317592
wave_2,Paper beta (0% reduction),2021-04-14,23287743.8271362,3224.0947759921887,13231.964499591155,5832608.113588217,276508.23569355323,0.0536,281564.0,0.8535031847133758,0.6821668152959652
wave_2,Paper beta (0% reduction),2021-04-15,23287181.4918849,3172.382694582514,13021.665018254229,5833432.460402267,276537.28013239056,0.0536,282054.0,0.8535031847133758,0.682150342835157
wave_2,Paper beta (0% reduction),2021-04-16,23286628.10904699,3121.560955497638,12814.627001945415,5834243.70299557,276565.8590088824,0.0536,282890.0,0.8535031847133758,0.6821341326169846
wave_2,Paper beta (0% reduction),2021-04-17,23286083.53902379,3071.6010151589394,12610.814872945779,5835042.045088106,276593.9802761577,0.0536,283658.0,0.8535031847133758,0.682118180552191
wave_2,Paper beta (0% reduction),2021-04-18,23285547.643826835,3022.4778494755915,12410.190250614614,5835827.688073075,276621.65164471045,0.0536,284673.0,0.8535031847133758,0.6821024825986858
wave_2,Paper beta (0% reduction),2021-04-19,23285020.287180364,2974.169246239414,12212.712707799621,5836600.8308655955,276648.8806110215,0.0536,285900.0,0.8535031847133758,0.6820870347645497
wave_2,Paper beta (0% reduction),2021-04-20,23284501.334595073,2926.65524719961,12018.340364155009,5837361.6697935695,276675.67448046023,0.0536,287567.0,0.8535031847133758,0.6820718331101934
wave_2,Paper beta (0% reduction),2021-04-21,23283990.6534193,2879.9177080339555,11827.030351042507,5838110.398521621,276702.04038567684,0.0536,289787.0,0.8535031847133758,0.6820568737498579
wave_2,Paper beta (0% reduction),2021-04-22,23283488.112872563,2833.939951183927,11638.739175324805,5838847.208000925,276727.9853014365,0.0536,292152.0,0.8535031847133758,0.6820421528525967
wave_2,Paper beta (0% reduction),2021-04-23,23282993.584065314,2788.706491838208,11453.42300355998,5839572.286439285,276753.5160566464,0.0536,294601.0,0.8535031847133758,0.6820276666428541
